pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
POLONIA ,30759,772,651,536,302,140,104,123,142,145,  ,  
PORTUGAL ,36434,694,476,479,410,274,256,264,392,317,  ,  
REPUBLICA CHECA ,4070,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
RUMANIA ,8523,192,130,184,88,49,29,40,54,73,  ,  
SAN MARINO ,208,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
SERBIA ,2774,74,62,44,38,24,12,9,16,20,  ,  
SUECIA ,98965,2640,1659,1189,580,372,450,375,394,541,  ,  
SUIZA ,143620,3376,2720,2048,1230,725,540,673,637,658,  ,  
TADJIKISTAN ,509,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
TURKMENISTAN ,47,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
UCRANIA ,8870,184,178,180,110,29,26,28,146,96,  ,  
UZBEKISTAN ,93,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
AUSTRALIA ,276688,4488,3642,4621,4060,3140,3117,2731,2942,3820,  ,  
NUEVA ZELANDIA ,65834,691,500,839,864,572,672,610,619,971,  ,  
SAMOA ,247,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
TUVALU ,323,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
ANGOLA ,509,3,3,1,4,0,0,5,0,3,  ,  
ARGELIA ,723,4,0,3,1,0,2,0,1,3,  ,  
CABO VERDE ,69,2,1,0,0,0,2,0,1,5,  ,  
EGIPTO ,787,11,7,10,19,8,9,9,6,9,  ,  
ETIOPIA ,28,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
GHANA ,266,9,1,2,5,0,2,7,2,1,  ,  
KENIA ,461,6,3,11,7,3,0,5,1,2,  ,  
LIBIA ,17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
MARRUECOS ,984,10,6,15,32,12,6,7,20,15,  ,  
NIGERIA ,517,6,3,6,8,4,13,4,3,4,  ,  
OTROS PAISES DE AFRICA ,3370,36,73,22,61,20,19,15,16,41,  ,  
SOMALIA ,13,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
SUDAFRICA ,25644,528,258,417,296,207,210,176,251,233,  ,  
TUNEZ ,424,8,6,43,3,3,1,1,2,3,  ,  
ZAIRE ,22,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
ZIMBABWE ,314,1,3,5,3,3,0,1,2,0,  ,  
BANGLADESH ,283,2,1,2,0,1,1,1,0,2,  ,  
BHUTAN ,19,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
BRUNEI ,43,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
